payment_id,user_id,payment_time,payment_date,amount,currency,product_type,channel,country
P00000001,U002310,2026-05-01 08:21:53,2026-05-01,5.67,USD,premium_feature,google_ads,US
P00000002,U021052,2026-05-01 08:34:06,2026-05-01,3.55,USD,premium_feature,facebook_ads,BR
P00000003,U012446,2026-05-01 09:03:57,2026-05-01,1.46,USD,starter_pack,app_store,BR
P00000004,U014755,2026-05-01 09:08:37,2026-05-01,0.91,USD,starter_pack,organic,CN
P00000005,U022752,2026-05-01 09:18:13,2026-05-01,2.43,USD,starter_pack,google_ads,US
P00000006,U016843,2026-05-01 09:25:12,2026-05-01,17.11,USD,monthly_subscription,organic,JP
P00000007,U000234,2026-05-01 09:36:02,2026-05-01,0.69,USD,starter_pack,referral,BR
P00000008,U020244,2026-05-01 10:01:23,2026-05-01,9.45,USD,monthly_subscription,google_ads,BR
P00000009,U005749,2026-05-01 10:14:37,2026-05-01,9.68,USD,monthly_subscription,organic,JP
P00000010,U021642,2026-05-01 10:15:18,2026-05-01,0.91,USD,starter_pack,app_store,CN
P00000011,U003450,2026-05-01 10:17:50,2026-05-01,2.41,USD,starter_pack,facebook_ads,US
P00000012,U020372,2026-05-01 10:20:19,2026-05-01,3.18,USD,starter_pack,app_store,JP
P00000013,U020429,2026-05-01 10:20:50,2026-05-01,2.33,USD,starter_pack,google_ads,US
P00000014,U018838,2026-05-01 10:32:51,2026-05-01,3.52,USD,premium_feature,referral,BR
P00000015,U017135,2026-05-01 10:33:46,2026-05-01,2.32,USD,starter_pack,app_store,US
P00000016,U014432,2026-05-01 10:50:35,2026-05-01,1.21,USD,starter_pack,app_store,US
P00000017,U000416,2026-05-01 10:57:02,2026-05-01,13.83,USD,monthly_subscription,organic,CN
P00000018,U020245,2026-05-01 11:13:06,2026-05-01,8.34,USD,monthly_subscription,referral,CN
P00000019,U010155,2026-05-01 11:20:30,2026-05-01,2.33,USD,starter_pack,facebook_ads,US
P00000020,U023691,2026-05-01 12:06:36,2026-05-01,1.18,USD,starter_pack,google_ads,US
P00000021,U019225,2026-05-01 12:16:34,2026-05-01,12.06,USD,premium_feature,app_store,US
P00000022,U015540,2026-05-01 12:29:28,2026-05-01,1.87,USD,starter_pack,tiktok_ads,CN
P00000023,U021585,2026-05-01 12:50:35,2026-05-01,11.94,USD,monthly_subscription,organic,CN
P00000024,U019059,2026-05-01 12:59:53,2026-05-01,16.79,USD,premium_feature,app_store,JP
P00000025,U018253,2026-05-01 13:08:02,2026-05-01,11.62,USD,coins_pack,app_store,US
P00000026,U014114,2026-05-01 13:16:01,2026-05-01,11.58,USD,premium_feature,app_store,US
P00000027,U014300,2026-05-01 13:20:40,2026-05-01,10.79,USD,monthly_subscription,organic,US
P00000028,U018731,2026-05-01 13:31:49,2026-05-01,4.62,USD,premium_feature,app_store,CN
P00000029,U006165,2026-05-01 13:48:09,2026-05-01,11.98,USD,monthly_subscription,organic,CN
P00000030,U010726,2026-05-01 14:07:32,2026-05-01,9.43,USD,monthly_subscription,tiktok_ads,BR
P00000031,U017841,2026-05-01 14:14:25,2026-05-01,5.80,USD,premium_feature,facebook_ads,US
P00000032,U014133,2026-05-01 14:23:15,2026-05-01,3.20,USD,starter_pack,organic,JP
P00000033,U017128,2026-05-01 14:32:31,2026-05-01,2.25,USD,starter_pack,organic,JP
P00000034,U009447,2026-05-01 14:35:17,2026-05-01,1.79,USD,starter_pack,organic,CN
