user_id,register_time,install_date,channel,country,device_os,device_model,app_version,age_group,gender,is_new_user
U000001,2026-01-01 01:36:43,2026-01-01,organic,JP,iOS,iPhone SE,1.1.0,45-54,F,1
U000002,2026-01-01 00:49:11,2026-01-01,google_ads,JP,iOS,iPhone 15,1.2.0,25-34,F,1
U000003,2026-01-01 00:37:20,2026-01-01,google_ads,CN,Android,Huawei Mate 60,1.1.0,35-44,M,1
U000004,2026-01-01 00:34:00,2026-01-01,organic,BR,Android,Redmi Note 13,1.1.1,35-44,F,1
U000005,2026-01-01 00:00:52,2026-01-01,tiktok_ads,BR,Android,Samsung Galaxy S23,1.1.0,25-34,M,1
U000006,2026-01-01 12:10:20,2026-01-01,tiktok_ads,BR,Android,vivo X100,1.1.1,35-44,M,1
U000007,,2026-01-01,google_ads,CN,Android,Xiaomi 14,1.1.0,35-44,F,1
U000008,2026-01-01 00:03:47,2026-01-01,tiktok_ads,CN,Android,Huawei Mate 60,1.1.0,25-34,F,1
U000009,,2026-01-01,organic,CN,Android,Huawei Mate 60,1.2.0,25-34,M,1
U000010,2026-01-01 02:32:07,2026-01-01,app_store,CN,Android,Redmi Note 13,1.2.0,18-24,M,1
U000011,2026-01-01 00:51:23,2026-01-01,app_store,CN,Android,Xiaomi 14,1.1.0,18-24,M,1
U000012,2026-01-01 01:12:13,2026-01-01,google_ads,JP,Android,Samsung Galaxy S23,1.1.0,18-24,F,1
U000013,,2026-01-01,google_ads,CN,iOS,iPhone 15,1.1.1,25-34,M,1
U000014,2026-01-01 01:02:46,2026-01-01,referral,CN,iOS,iPhone 11,1.1.0,25-34,F,1
U000015,2026-01-01 00:42:32,2026-01-01,tiktok_ads,BR,Android,Huawei Mate 60,1.1.1,18-24,F,1
U000016,2026-01-01 00:26:26,2026-01-01,google_ads,BR,iOS,iPhone 12,1.2.0,25-34,M,1
U000017,2026-01-01 02:57:22,2026-01-01,tiktok_ads,BR,Android,Redmi Note 13,1.2.0,25-34,M,1
U000018,2026-01-01 00:40:20,2026-01-01,organic,US,iOS,iPhone 15,1.1.0,45-54,F,1
U000019,2026-01-01 01:47:12,2026-01-01,facebook_ads,ID,iOS,iPhone 15,1.1.0,35-44,M,1
U000020,2026-01-02 00:03:49,2026-01-01,google_ads,US,iOS,iPhone 15,1.1.0,18-24,M,1
U000021,2026-01-01 00:26:35,2026-01-01,tiktok_ads,JP,Android,Samsung Galaxy A54,1.1.0,35-44,F,1
U000022,2026-01-01 00:56:27,2026-01-01,tiktok_ads,BR,Android,Huawei Mate 60,1.1.1,25-34,F,1
U000023,2026-01-01 00:54:18,2026-01-01,app_store,ID,iOS,iPhone 15,1.1.1,25-34,F,1
U000024,,2026-01-01,organic,CN,Android,Redmi Note 13,1.1.0,25-34,F,1
U000025,2026-01-01 00:15:00,2026-01-01,google_ads,US,iOS,iPhone 13,1.1.0,25-34,F,1
U000026,2026-01-01 06:25:50,2026-01-01,tiktok_ads,JP,iOS,iPhone 14,1.1.0,18-24,M,1
U000027,2026-01-01 01:32:54,2026-01-01,facebook_ads,ID,Android,OPPO Reno11,1.1.0,25-34,F,1
U000028,,2026-01-01,tiktok_ads,JP,iOS,iPhone 15,1.1.1,35-44,M,1
U000029,2026-01-02 00:16:06,2026-01-01,facebook_ads,US,Android,Google Pixel 8,1.2.0,18-24,F,1
U000030,2026-01-01 00:33:14,2026-01-01,google_ads,US,iOS,iPhone 13,1.1.1,25-34,F,1
U000031,2026-01-01 00:37:43,2026-01-01,tiktok_ads,ID,Android,Redmi Note 13,1.1.1,18-24,F,1
U000032,2026-01-01 06:14:42,2026-01-01,facebook_ads,JP,iOS,iPhone 14,1.1.0,18-24,M,1
U000033,2026-01-01 06:11:43,2026-01-01,organic,ID,iOS,iPhone SE,1.1.1,25-34,F,1
U000034,,2026-01-01,google_ads,ID,Android,Redmi Note 13,1.2.0,25-34,M,1
U000035,2026-01-01 06:49:18,2026-01-01,google_ads,CN,Android,Samsung Galaxy S23,1.1.0,25-34,F,1
U000036,2026-01-01 00:58:35,2026-01-01,google_ads,CN,Android,Xiaomi 14,1.1.1,35-44,M,1
U000037,,2026-01-01,organic,JP,iOS,iPhone 15,1.1.1,35-44,M,1
U000038,2026-01-01 06:31:19,2026-01-01,referral,CN,iOS,iPhone 15,1.1.0,45-54,M,1
U000039,2026-01-01 02:20:56,2026-01-01,facebook_ads,ID,Android,Redmi Note 13,1.2.0,18-24,F,1
U000040,,2026-01-01,organic,CN,Android,Samsung Galaxy A54,1.1.0,25-34,F,1
U000041,2026-01-01 12:27:29,2026-01-01,organic,JP,iOS,iPhone 13,1.1.1,35-44,M,1
U000042,,2026-01-01,facebook_ads,JP,iOS,iPhone 15,1.1.1,18-24,F,1
U000043,2026-01-01 06:07:32,2026-01-01,organic,JP,iOS,iPhone 13,1.1.0,18-24,M,1
U000044,2026-01-01 01:04:03,2026-01-01,google_ads,ID,Android,Samsung Galaxy A54,1.1.1,18-24,Unknown,1
U000045,2026-01-01 00:16:36,2026-01-01,app_store,US,iOS,iPhone 14,1.1.0,25-34,M,1
U000046,2026-01-01 02:32:24,2026-01-01,organic,CN,Android,OPPO Reno11,1.1.0,18-24,F,1
U000047,2026-01-01 02:29:43,2026-01-01,app_store,JP,iOS,iPhone 13,1.1.0,35-44,F,1
U000048,,2026-01-01,tiktok_ads,BR,Android,Google Pixel 8,1.1.0,18-24,F,1
U000049,2026-01-01 00:19:01,2026-01-01,tiktok_ads,BR,Android,Samsung Galaxy A54,1.2.0,25-34,F,1
U000050,2026-01-01 01:12:52,2026-01-01,referral,BR,Android,Samsung Galaxy S23,1.1.1,25-34,M,1
U000051,2026-01-02 00:57:34,2026-01-01,organic,CN,Android,OPPO Reno11,1.1.0,45-54,M,1
U000052,2026-01-01 00:00:58,2026-01-01,facebook_ads,BR,Android,Samsung Galaxy A54,1.1.1,18-24,M,1
U000053,2026-01-01 01:13:02,2026-01-01,referral,CN,Android,Samsung Galaxy A54,1.1.0,25-34,F,1
U000054,2026-01-01 02:25:30,2026-01-01,google_ads,US,iOS,iPhone 11,1.1.0,25-34,M,1
U000055,2026-01-01 01:12:54,2026-01-01,facebook_ads,BR,Android,Xiaomi 14,1.1.1,18-24,F,1
U000056,2026-01-01 00:05:32,2026-01-01,referral,US,iOS,iPhone 15,1.2.0,35-44,M,1
U000057,2026-01-01 00:29:19,2026-01-01,organic,JP,iOS,iPhone 13,1.1.0,25-34,M,1
U000058,2026-01-01 01:05:20,2026-01-01,google_ads,BR,Android,vivo X100,1.1.1,55+,F,1
U000059,2026-01-01 06:17:20,2026-01-01,organic,ID,Android,Xiaomi 14,1.2.0,25-34,F,1
U000060,2026-01-01 00:25:41,2026-01-01,organic,BR,Android,vivo X100,1.1.0,45-54,F,1
U000061,2026-01-01 00:20:37,2026-01-01,organic,US,Android,Xiaomi 14,1.1.1,18-24,M,1
